host,plant,jun_16,jul_16,aug_16,sep_16,oct_16,nov_16,dic_16,jan_17,feb_17,mar_17,apr_17,jun_17,jul_17,aug_17,sep_17,oct_17,nov_17,dic_17,Jan_18,feb_18,mar_18,apr_18,may_18,jun_18,
,MC20,,1,,,,,,1,1,,,,,,,,,1,1,1,,,,,
1,MC21,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC22,,,,,,,,,,,,,,,1,1,,,,,,,,,
1,MC23,,,1,,,,,,,,,,,1,1,1,1,1,,,,,,,
1,MC24,1,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,
1,MC25,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
1,MC26,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC27,,,1,,1,1,1,,,,,,,,,,,,,,,,,,
1,MC28,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC29,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC30,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
1,MC31,,,,,1,1,1,1,1,,,,,,,,,1,,,,,,,
1,MC32,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC33,,1,1,,,,,,,,,,,,,,,,,,,,,,
,MC34,,,1,,,,1,,,,,,,,,,,,,,,,,,
1,MC35,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
1,MC36,,,,,1,1,,,,,,,,,,,,,,,,,,,
1,MC37,1,,,1,1,1,,1,1,,1,1,,,,,,,,,,,,,
1,MC38,,,,,,,1,1,1,1,,,1,,1,1,,,,,,,,,
1,MC39,,,,1,1,1,1,,,,,,,,,,,,,,1,1,1,1,
1,MC40,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
,MC41,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC42,,,,,1,1,1,,1,1,1,1,,,,,,,,,,,,,
1,MC43,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,
1,MC44,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC45,,,,,1,1,1,,,,,,,,,,,,,,,,,,
1,MC46,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
,MC47,,,,,1,1,1,,,,,,,,1,1,1,1,,,,1,1,1,
1,MC48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
1,MC49,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,,,,
1,MC50,,,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,
,MC51,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
1,MC52,,,,,,,,,,,,,,,,,,,,,,,,,
,MC53,,,1,1,1,1,,,,,1,1,,,1,1,,,,,,,,,
1,MC55,,,1,,1,1,1,,,,,1,1,,,,,1,,,,,,,
,MC56,,,1,1,1,1,1,,,,,,,1,1,,,,,,,,,,
,MC57,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
,MC58,1,,1,,1,1,1,1,1,,,,1,,1,1,1,1,,,,,,,
1,MC59,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
1,MC60,,,,1,,,,,,,,,,,,,,1,,,,,,,
1,MC61,,,1,,1,1,1,,,,,,,1,1,1,1,1,,,,,,,
1,MC62,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,,
1,MC63,,,,1,1,1,1,,,1,1,1,,,1,1,1,1,,,,,,,
1,MC64,,,1,1,1,1,,,,,,,,,,,,,,,,,,,
1,MC65,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,
1,MC66,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
1,MC67,1,,1,1,1,,,,,,,,,,,,,,,,,,,,
1,MC68,,1,1,1,,1,,,,,,1,1,1,1,1,1,1,,,,,,,
1,MC70,1,,1,1,1,,1,1,1,,,1,1,1,1,1,1,1,,,,,,,
1,MC71,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,
1,MC72,1,,1,1,1,1,,,,,,,,,,,,1,,,,,,,
1,MC73,1,1,1,,,,,,,,,,,,,,,,,,,,,,
1,MC74,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,
1,MC75,1,1,1,1,1,1,1,,,,1,1,,,1,1,1,1,,,,,,,
,MC76,,1,1,1,1,1,1,,,1,1,1,,,1,1,1,1,,,,,,,
1,MC77,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,
1,MC78,1,1,1,1,1,1,,,,,,,,1,1,1,,,,,,,,,
